Program,Max Games,Date
Verona,4,8/23/2025
Verona,4,8/23/2025
Verona,4,8/23/2025
Verona,4,8/23/2025
Sun P East ,2,8/25/2025
Sun P East ,2,8/25/2025
Oregon,1,8/25/2025
Middleton,1,8/25/2025
Milton,2,8/25/2025
Milton,2,8/25/2025
Reedsburg,2,8/25/2025
Reedsburg,2,8/25/2025
Monona Grove,2,8/25/2025
Monona Grove,2,8/25/2025
Sun P West,1,8/25/2025
Portage,2,8/25/2025
Portage,2,8/25/2025
Waunakee,2,8/25/2025
Waunakee,2,8/25/2025
MtHoreb,1,8/25/2025
Sun P East ,2,8/26/2025
Sun P East ,2,8/26/2025
Oregon,1,8/26/2025
Lodi,1,8/26/2025
Middleton,1,8/26/2025
Milton,2,8/26/2025
Milton,2,8/26/2025
Reedsburg,2,8/26/2025
Reedsburg,2,8/26/2025
Stoughton,2,8/26/2025
Stoughton,2,8/26/2025
Monona Grove,2,8/26/2025
Monona Grove,2,8/26/2025
Portage,2,8/26/2025
Portage,2,8/26/2025
Waunakee,2,8/26/2025
Waunakee,2,8/26/2025
MtHoreb,1,8/26/2025
Oregon,1,8/27/2025
Milton,2,8/27/2025
Milton,2,8/27/2025
Reedsburg,2,8/27/2025
Reedsburg,2,8/27/2025
Sun P West,1,8/27/2025
MtHoreb,1,8/27/2025
Oregon,1,8/28/2025
Milton,2,8/28/2025
Milton,2,8/28/2025
Reedsburg,2,8/28/2025
Reedsburg,2,8/28/2025
Sun P East ,2,9/2/2025
Sun P East ,2,9/2/2025
Oregon,1,9/2/2025
Verona,2,9/2/2025
Verona,2,9/2/2025
Lodi,1,9/2/2025
Middleton,1,9/2/2025
Milton,2,9/2/2025
Milton,2,9/2/2025
Stoughton,2,9/2/2025
Stoughton,2,9/2/2025
Monona Grove,2,9/2/2025
Monona Grove,2,9/2/2025
MtHoreb,1,9/2/2025
Oregon,1,9/3/2025
Milton,2,9/3/2025
Milton,2,9/3/2025
Reedsburg,2,9/3/2025
Reedsburg,2,9/3/2025
Sun P West,1,9/3/2025
MtHoreb,1,9/3/2025
Oregon,1,9/4/2025
Milton,2,9/4/2025
Milton,2,9/4/2025
Reedsburg,2,9/4/2025
Reedsburg,2,9/4/2025
Sun P East ,2,9/8/2025
Sun P East ,2,9/8/2025
Oregon,1,9/8/2025
Verona,2,9/8/2025
Verona,2,9/8/2025
Middleton,1,9/8/2025
Milton,2,9/8/2025
Milton,2,9/8/2025
Reedsburg,2,9/8/2025
Reedsburg,2,9/8/2025
Monona Grove,2,9/8/2025
Monona Grove,2,9/8/2025
Sun P West,1,9/8/2025
Waunakee,2,9/8/2025
Waunakee,2,9/8/2025
MtHoreb,1,9/8/2025
Sun P East ,2,9/9/2025
Sun P East ,2,9/9/2025
Oregon,1,9/9/2025
Verona,2,9/9/2025
Verona,2,9/9/2025
Middleton,1,9/9/2025
Milton,2,9/9/2025
Milton,2,9/9/2025
Reedsburg,2,9/9/2025
Reedsburg,2,9/9/2025
Sauk Pr,1,9/9/2025
Monona Grove,2,9/9/2025
Monona Grove,2,9/9/2025
Portage,2,9/9/2025
Portage,2,9/9/2025
Waunakee,2,9/9/2025
Waunakee,2,9/9/2025
MtHoreb,1,9/9/2025
Oregon,1,9/10/2025
Milton,2,9/10/2025
Milton,2,9/10/2025
Reedsburg,2,9/10/2025
Reedsburg,2,9/10/2025
Stoughton,2,9/10/2025
Stoughton,2,9/10/2025
Sun P West,1,9/10/2025
MtHoreb,1,9/10/2025
Oregon,1,9/11/2025
Milton,2,9/11/2025
Milton,2,9/11/2025
Reedsburg,2,9/11/2025
Reedsburg,2,9/11/2025
Sun P East ,2,9/15/2025
Sun P East ,2,9/15/2025
Oregon,1,9/15/2025
Lodi,1,9/15/2025
Middleton,1,9/15/2025
Milton,2,9/15/2025
Milton,2,9/15/2025
Monona Grove,2,9/15/2025
Monona Grove,2,9/15/2025
Sun P West,1,9/15/2025
Waunakee,2,9/15/2025
Waunakee,2,9/15/2025
MtHoreb,1,9/15/2025
Sun P East ,2,9/16/2025
Sun P East ,2,9/16/2025
Oregon,1,9/16/2025
Verona,2,9/16/2025
Verona,2,9/16/2025
Lodi,1,9/16/2025
Middleton,1,9/16/2025
Milton,2,9/16/2025
Milton,2,9/16/2025
Reedsburg,2,9/16/2025
Reedsburg,2,9/16/2025
Stoughton,2,9/16/2025
Stoughton,2,9/16/2025
Monona Grove,2,9/16/2025
Monona Grove,2,9/16/2025
Portage,2,9/16/2025
Portage,2,9/16/2025
Waunakee,2,9/16/2025
Waunakee,2,9/16/2025
MtHoreb,1,9/16/2025
Oregon,1,9/17/2025
Milton,2,9/17/2025
Milton,2,9/17/2025
Reedsburg,2,9/17/2025
Reedsburg,2,9/17/2025
Sun P West,1,9/17/2025
MtHoreb,1,9/17/2025
Oregon,1,9/18/2025
Milton,2,9/18/2025
Milton,2,9/18/2025
Reedsburg,2,9/18/2025
Reedsburg,2,9/18/2025
Waunakee,2,9/18/2025
Waunakee,2,9/18/2025
Sun P East ,2,9/22/2025
Sun P East ,2,9/22/2025
Oregon,1,9/22/2025
Verona,2,9/22/2025
Verona,2,9/22/2025
Middleton,1,9/22/2025
Milton,2,9/22/2025
Milton,2,9/22/2025
Monona Grove,2,9/22/2025
Monona Grove,2,9/22/2025
Sun P West,1,9/22/2025
Waunakee,2,9/22/2025
Waunakee,2,9/22/2025
MtHoreb,1,9/22/2025
Sun P East ,2,9/23/2025
Sun P East ,2,9/23/2025
Oregon,1,9/23/2025
Verona,2,9/23/2025
Verona,2,9/23/2025
Beaver Dam,2,9/23/2025
Beaver Dam,2,9/23/2025
Middleton,1,9/23/2025
Milton,2,9/23/2025
Milton,2,9/23/2025
Reedsburg,2,9/23/2025
Reedsburg,2,9/23/2025
Sauk Pr,1,9/23/2025
Monona Grove,2,9/23/2025
Monona Grove,2,9/23/2025
Portage,2,9/23/2025
Portage,2,9/23/2025
Waunakee,2,9/23/2025
Waunakee,2,9/23/2025
MtHoreb,1,9/23/2025
Oregon,1,9/24/2025
Milton,2,9/24/2025
Milton,2,9/24/2025
Reedsburg,2,9/24/2025
Reedsburg,2,9/24/2025
Sun P West,1,9/24/2025
MtHoreb,1,9/24/2025
Oregon,1,9/25/2025
Milton,2,9/25/2025
Milton,2,9/25/2025
Reedsburg,2,9/25/2025
Reedsburg,2,9/25/2025
Sun P East ,2,9/29/2025
Sun P East ,2,9/29/2025
Oregon,1,9/29/2025
Lodi,1,9/29/2025
Middleton,1,9/29/2025
Milton,2,9/29/2025
Milton,2,9/29/2025
Reedsburg,2,9/29/2025
Reedsburg,2,9/29/2025
Monona Grove,2,9/29/2025
Monona Grove,2,9/29/2025
Sun P West,1,9/29/2025
Waunakee,2,9/29/2025
Waunakee,2,9/29/2025
MtHoreb,1,9/29/2025
Sun P East ,2,9/30/2025
Sun P East ,2,9/30/2025
Oregon,1,9/30/2025
Verona,2,9/30/2025
Verona,2,9/30/2025
Beaver Dam,2,9/30/2025
Beaver Dam,2,9/30/2025
Middleton,1,9/30/2025
Milton,2,9/30/2025
Milton,2,9/30/2025
Reedsburg,2,9/30/2025
Reedsburg,2,9/30/2025
Sauk Pr,1,9/30/2025
Monona Grove,2,9/30/2025
Monona Grove,2,9/30/2025
Portage,2,9/30/2025
Portage,2,9/30/2025
Waunakee,2,9/30/2025
Waunakee,2,9/30/2025
MtHoreb,1,9/30/2025
Oregon,1,10/1/2025
Milton,2,10/1/2025
Milton,2,10/1/2025
Reedsburg,2,10/1/2025
Reedsburg,2,10/1/2025
Sun P West,1,10/1/2025
MtHoreb,1,10/1/2025
Oregon,1,10/2/2025
Milton,2,10/2/2025
Milton,2,10/2/2025
Reedsburg,2,10/2/2025
Reedsburg,2,10/2/2025
Waunakee,2,10/2/2025
Waunakee,2,10/2/2025
Sun P East ,2,10/6/2025
Sun P East ,2,10/6/2025
Oregon,1,10/6/2025
Verona,2,10/6/2025
Verona,2,10/6/2025
Middleton,1,10/6/2025
Milton,2,10/6/2025
Milton,2,10/6/2025
Monona Grove,2,10/6/2025
Monona Grove,2,10/6/2025
Sun P West,1,10/6/2025
Waunakee,2,10/6/2025
Waunakee,2,10/6/2025
MtHoreb,1,10/6/2025
Sun P East ,2,10/7/2025
Sun P East ,2,10/7/2025
Oregon,1,10/7/2025
Verona,2,10/7/2025
Verona,2,10/7/2025
Lodi,1,10/7/2025
Beaver Dam,2,10/7/2025
Beaver Dam,2,10/7/2025
Middleton,1,10/7/2025
Milton,2,10/7/2025
Milton,2,10/7/2025
Reedsburg,2,10/7/2025
Reedsburg,2,10/7/2025
Monona Grove,2,10/7/2025
Monona Grove,2,10/7/2025
Portage,2,10/7/2025
Portage,2,10/7/2025
Waunakee,2,10/7/2025
Waunakee,2,10/7/2025
MtHoreb,1,10/7/2025
Oregon,1,10/8/2025
Milton,2,10/8/2025
Milton,2,10/8/2025
Reedsburg,2,10/8/2025
Reedsburg,2,10/8/2025
Stoughton,2,10/8/2025
Stoughton,2,10/8/2025
Sun P West,1,10/8/2025
MtHoreb,1,10/8/2025
Oregon,1,10/9/2025
Milton,2,10/9/2025
Milton,2,10/9/2025
Reedsburg,2,10/9/2025
Reedsburg,2,10/9/2025
Sun P East ,2,10/13/2025
Sun P East ,2,10/13/2025
Oregon,1,10/13/2025
Middleton,1,10/13/2025
Milton,2,10/13/2025
Milton,2,10/13/2025
Monona Grove,2,10/13/2025
Monona Grove,2,10/13/2025
Sun P West,1,10/13/2025
Waunakee,2,10/13/2025
Waunakee,2,10/13/2025
MtHoreb,1,10/13/2025
Sun P East ,2,10/14/2025
Sun P East ,2,10/14/2025
Oregon,1,10/14/2025
Verona,2,10/14/2025
Verona,2,10/14/2025
Lodi,1,10/14/2025
Beaver Dam,2,10/14/2025
Beaver Dam,2,10/14/2025
Middleton,1,10/14/2025
Milton,2,10/14/2025
Milton,2,10/14/2025
Reedsburg,2,10/14/2025
Reedsburg,2,10/14/2025
Sauk Pr,1,10/14/2025
Monona Grove,2,10/14/2025
Monona Grove,2,10/14/2025
Portage,2,10/14/2025
Portage,2,10/14/2025
Waunakee,2,10/14/2025
Waunakee,2,10/14/2025
MtHoreb,1,10/14/2025
Oregon,1,10/15/2025
Milton,2,10/15/2025
Milton,2,10/15/2025
Reedsburg,2,10/15/2025
Reedsburg,2,10/15/2025
Sun P West,1,10/15/2025
MtHoreb,1,10/15/2025
Oregon,1,10/16/2025
Milton,2,10/16/2025
Milton,2,10/16/2025
Reedsburg,2,10/16/2025
Reedsburg,2,10/16/2025
Waunakee,2,10/16/2025
Waunakee,2,10/16/2025
Sauk Pr,2,8/25/2025
Sauk Pr,2,8/25/2025
Sauk Pr,2,9/2/2025
Sauk Pr,2,9/2/2025
Sauk Pr,2,9/2/2025
Sauk Pr,2,9/9/2025
Sauk Pr,2,9/9/2025
Sauk Pr,2,9/16/2025
Sauk Pr,2,9/16/2025
Sauk Pr,2,9/23/2025
Sauk Pr,2,9/23/2025
Sauk Pr,2,9/30/2025
Sauk Pr,2,9/30/2025
Sauk Pr,2,10/7/2025
Sauk Pr,2,10/7/2025
Sauk Pr,2,10/14/2025
Sauk Pr,2,10/14/2025
